hit_id,smiles,vina_PD-L1,vina_TGF-bR1,dual_score
HIT_0187,Cc1cc(-c2ccccc2[C@H]2CCN(c3ccc(C#N)c(O)c3F)C2)ccc1F,-7.152,-5.571,-12.722999999999999
HIT_0188,O=C1C[C@H]2C[C@@H]1[C@H](C(=O)NCc1cc(F)ccc1-c1ccc3c(c1)OCC3)C2,-7.444,-5.278,-12.722
HIT_0189,O=C(c1cc2c(nc1O)CCNC2)N1CCc2cc(F)c(F)cc2C1,-7.46,-5.261,-12.721
HIT_0190,Fc1cncc(-c2ccc3c(c2)[C@@H](N2CC[C@@]24CCOC4)CCN3)c1,-7.706,-5.014,-12.72
HIT_0191,Cc1cccc2c1CN(c1ccc(C#N)nc1N1CC[C@](F)(C#N)C1)C2,-7.772,-4.947,-12.719000000000001
HIT_0192,O=C1NCCOc2ccc(Nc3cc4c(cc3N3CC(F)(F)C35CCCC5)OCC4)cc21,-7.63,-5.087,-12.716999999999999
HIT_0193,CC1=CC(C)=NCCN1c1cc2c(cc1O)[C@H](N(C)c1ncccc1C)CC2,-7.853,-4.863,-12.716000000000001
HIT_0194,C[C@](C#N)(NC1CC2(CCN(c3c[nH]c(C(N)=O)c3)CC2)C1)c1ccc(F)cc1,-7.375,-5.339,-12.714
HIT_0195,C[C@@H]1NCC[C@H]1C(=O)N1CCc2ccc(-c3ccncc3)cc2C1,-7.606,-5.106,-12.712
HIT_0196,Cc1[nH]c(C(=O)N2CCCOC[C@@H]2C)cc1N1CCc2cc(F)ccc21,-7.462,-5.249,-12.710999999999999
HIT_0197,C[C@]1(C#N)CN([C@@H]2CN(c3ccc4c(c3)CNCCO4)c3ccc(Br)cc32)CCO1,-7.826,-4.884,-12.71
HIT_0198,N#Cc1ccc(-c2cccc3c2CCN(C2CC4(CNC4)C2)C3)c(F)c1,-8.517,-4.193,-12.709999999999999
HIT_0199,C[C@@H]1C[C@@H](O)CN(c2ccc3c(c2)N(c2ccc4c(n2)NCC4)CC3)C1,-7.907,-4.801,-12.708
HIT_0200,O=C([C@H]1CCN1c1cccc2c1CNC2)N1Cc2cccc(Br)c2C1,-7.887,-4.821,-12.707999999999998
HIT_0201,Cc1cc(N2C[C@H](C)OC3(CCCC3)C2)ccc1Oc1ccc2c(c1)OCCN2,-7.275,-5.43,-12.705
HIT_0202,C[C@@H]1[C@@H](C(=O)O)CCN1[C@@H]1CCc2cc(-c3ccc(F)cc3)ccc21,-7.377,-5.327,-12.704
HIT_0203,Cc1ccc(F)c2c1N(C(=O)[C@]1(F)CCN(c3c[nH]nc3C#N)C1)CCC2,-6.96,-5.742,-12.702
HIT_0204,CC1(C)C[C@H](C(=O)N2CCCNc3ccccc3C2)N(c2cccnc2O)C1,-8.2,-4.501,-12.701
HIT_0205,Cc1ccc2c(c1)CC[C@@H]2N1CCc2cc(F)ccc21,-7.717,-4.982,-12.699
HIT_0206,C[C@@]1(c2cccc(F)c2)CCN(C(=O)c2ccc(C#N)c(N)c2)C1,-7.681,-5.017,-12.698
HIT_0207,Cc1cncc(-c2ccc3c(c2)N(C2CNCCCNC2)CCO3)c1C,-7.099,-5.599,-12.698
HIT_0208,O[C@@H]1CCN(c2cnc(N[C@@H]3CCCc4c(F)cccc43)c(F)c2)C[C@H]1F,-8.308,-4.39,-12.698
HIT_0209,Cc1cc(Nc2ccc3c(c2)NCCC3=O)cc(N2CCC[C@H]3COCC[C@@H]32)n1,-7.133,-5.563,-12.696
HIT_0210,Fc1ccc2c(c1)CCN2c1ccc2c(c1)CNCCC2,-7.577,-5.119,-12.696
HIT_0211,CNC(=O)Cc1cccc(N2CCC3(CC2)CC(C(=O)O)(N2CCCc4ccc(F)c(F)c42)C3)c1,-7.351,-5.345,-12.696
HIT_0212,Cc1cc(NC(=O)C2(C)CNC2)cc(N2CCCc3cc(F)ccc32)c1,-7.374,-5.321,-12.695
HIT_0213,CC1(Nc2cc(-c3ncccc3F)c3c(n2)NCC3)CCCCCC1,-7.181,-5.514,-12.695
HIT_0214,C[C@@H]1CN(c2cc(N[C@@H]3CCc4c(F)cc(F)cc4C3)ccn2)CC[C@@H]1O,-7.431,-5.258,-12.689
HIT_0215,Cc1ccc(N2Cc3cccc(C)c3C2)c(-c2noc(-c3ncccc3O)n2)n1,-8.026,-4.663,-12.689
HIT_0216,O=C(C1CCN(c2cc(F)ccc2O)CC1)N1CCCc2cc(Cl)ccc2C1,-7.856,-4.832,-12.687999999999999
HIT_0217,Fc1cc(Oc2cccc(N3CCCCc4ccncc43)c2)cc2c1CNCC2,-7.547,-5.138,-12.684999999999999
HIT_0218,C[C@H]1CC[C@H](N[C@H]2CCN(C)Cc3ccc(F)cc32)C[C@@H]1C,-7.829,-4.856,-12.684999999999999
HIT_0219,Cc1cc(C#N)c(N2CCc3c(O)ccc(F)c3C2)nc1C,-7.784,-4.9,-12.684000000000001
HIT_0220,N[C@@H]1COc2ccc(N3CCc4c(F)cc(F)cc4C3)cc2C1,-7.947,-4.737,-12.684000000000001
HIT_0221,Fc1ccc2c(c1)[C@H](N1CCCc3cccc(F)c3C1)CCN2,-7.429,-5.252,-12.681000000000001
HIT_0222,Cc1nc(N2CCCC(C)(C)[C@@H]2C)ccc1Oc1ccc2c(c1)OCC[C@H]2O,-7.413,-5.268,-12.681000000000001
HIT_0223,CC1(C)CN(c2ccc3c(c2)N(c2ccc(F)cc2)CC3)CCN1,-7.929,-4.751,-12.68
HIT_0224,C[C@H]1[C@@H](c2nc3cc(F)c(F)cc3o2)CCCN1c1ccc(C#N)s1,-7.489,-5.19,-12.679
HIT_0225,Cc1cccc2c1N(C(=O)[C@@H]1CC[C@H](C)N1c1cncc3c1CCN3)CCNC2,-7.076,-5.603,-12.678999999999998
HIT_0226,Cc1ccc(N[C@H]2C[C@@](F)(C(=O)N(C)c3ccc(F)c(F)c3F)C2)nc1,-7.231,-5.447,-12.678
HIT_0227,C[C@H]1C[S@](=O)CCN1c1cccc(N(C)c2ccc3c(c2)CCCNC3)c1,-6.907,-5.771,-12.678
HIT_0228,O=C(Nc1cnc2c(c1)CCC2)N[C@@H]1CCc2cc(F)cc(F)c2C1,-6.822,-5.855,-12.677
HIT_0229,CC1(C)CN(c2ccc3c(c2)CN(c2ccc(F)c4c2CC(=O)N4)CC3)CCCN1,-8.396,-4.28,-12.676000000000002
HIT_0230,Ic1ccc2c(c1)N(c1ccc3c(c1)[C@@]1(CCN1)CCO3)CC2,-7.553,-5.123,-12.676
HIT_0231,Fc1cccc2c1CN(c1ccc3c(c1)CCN3)CCC2,-7.456,-5.219,-12.675
HIT_0232,C[C@@H]1CN(C(=O)N2CCN(c3cccc(C#N)c3)c3ccccc32)CC[C@@H]1N,-7.09,-5.581,-12.671
HIT_0233,O=[S@]1CCCN(c2ccc3c(c2)CN(c2ccc(F)cc2O)CCC3)CC1,-7.238,-5.433,-12.671
HIT_0234,Cn1nc(N2CCC[C@](C)(C#N)C2)cc1Nc1ccc(F)c2c1CNCC2,-7.802,-4.867,-12.669
HIT_0235,Oc1ccc2c(c1)CN(C1=CC[C@@H](O)c3ncccc31)CCC2,-7.877,-4.792,-12.669
HIT_0236,Oc1cccnc1N1CCc2ccc(N3CCCC34CCOCC4)cc21,-7.412,-5.257,-12.669
HIT_0237,N#Cc1ccc(N)cc1N1CC[C@@]12CCCc1ccccc12,-7.725,-4.943,-12.668
HIT_0238,O=C([C@@H]1CC2(CC2)CN1)N1CC2(CCCc3ccccc32)C1,-6.956,-5.711,-12.667000000000002
HIT_0239,Cc1cccc2c1CCC[C@H]2Nc1ccc2c(c1)OCC[C@]21CCN1,-7.613,-5.054,-12.667000000000002
HIT_0240,C[C@H]1CN(c2cnc3c(c2)N(c2cc(F)c(F)cc2C#N)CCN3)CC[C@@]1(C)O,-8.438,-4.224,-12.662
HIT_0241,C[C@@H]1CCc2cccc(O)c2N1C(=O)c1cccc2c1COCC2,-7.456,-5.203,-12.659
HIT_0242,Cc1cnc(C#N)c(N2CCCc3ccc(Oc4ccc(=O)n(C)c4)cc3C2)c1,-7.272,-5.387,-12.658999999999999
HIT_0243,Cc1ccc(N2CCc3c(C#N)cccc3C2)nc1NC(=O)N1CCOCC1,-7.26,-5.396,-12.655999999999999
HIT_0244,CN1CCN(C(=O)c2cc(N3CCOc4c(F)cccc43)c[nH]2)C(C)(C)C1,-7.68,-4.973,-12.652999999999999
HIT_0245,O[C@]1(c2ccccc2)CCCN(c2ccc3c(c2)CNCC3)C1,-7.663,-4.989,-12.652000000000001
HIT_0246,C[C@@H]1CN(c2ccc3c(c2)CNCC3)CC[C@H]1N1CCc2ccc(F)cc21,-7.194,-5.453,-12.647
HIT_0247,C[C@H]1C(=O)CCC[C@@H]1N1CCNc2ccc(-c3ccc(O)nc3)nc21,-7.475,-5.172,-12.646999999999998
HIT_0248,c1ccc2c(c1)CCN(c1cncc(N[C@@H]3CC34CCCC4)n1)C2,-7.239,-5.403,-12.642
HIT_0249,C[C@@H]1CN(c2cc(O[C@H]3CCc4ccccc43)cnc2N)C[C@H](C)N1,-7.435,-5.207,-12.642
HIT_0250,C[C@@H]1OCC[C@H]1OC(=O)c1cc(N2CCCNc3cc(F)c(F)cc32)n(C)n1,-7.452,-5.188,-12.64
HIT_0251,Cc1cc(F)cc2c1CN(c1ccc3c(c1)OCCN3)CC2,-8.034,-4.606,-12.64
HIT_0252,C[C@@]1(O)Cc2cccc(N3CCOc4cc(F)ccc43)c21,-7.364,-5.272,-12.636
HIT_0253,CC(=O)[C@H]1CCN(c2ccc3c(c2)N(c2cc4c(cc2F)CCN4)CC3)C1,-7.626,-5.01,-12.636
HIT_0254,Cc1cc(-c2ccc3c(c2)N(C(=O)[C@H]2NCC[C@H]2C)CCN3)ccc1C#N,-7.828,-4.807,-12.635000000000002
HIT_0255,O=C(N1CCc2ccc(N3CCc4cc(F)c(F)cc4C3)cc21)C1(O)CNC1,-7.905,-4.729,-12.634
HIT_0256,Cc1cc(N2CCc3ccc(N4CC5(CC[C@@H](O)C5)C4)cc32)cc(C)n1,-7.561,-5.068,-12.629
HIT_0257,c1ccc2c(c1)CN([C@@H]1CCN(C3CNCCCNC3)c3ncccc31)C2,-8.102,-4.524,-12.626000000000001
HIT_0258,C[C@H]1Oc2cc(F)ccc2[C@H]1Nc1ccc2c(c1)CNCC2,-7.606,-5.02,-12.626
HIT_0259,CC1(C)N[C@@H](C(=O)N2CCc3ccc(-c4ccc(Cl)cc4C#N)cc32)CS1,-7.92,-4.705,-12.625
HIT_0260,Cc1[nH]c(C(=O)N[C@@H]2CCc3nn(C)cc32)cc1N1CCC(F)(F)[C@H]1C(=O)O,-6.674,-5.948,-12.622
HIT_0261,C[C@@H]1C[C@@H](C)CN(c2cc3c(cn2)N(c2cc4c(cn2)CCN4)CCO3)C1,-7.896,-4.725,-12.620999999999999
HIT_0262,Cc1cccc(C(=O)N2CCCc3cc(C(=O)NC4CCC(=O)CC4)ccc32)c1,-7.438,-5.182,-12.620000000000001
HIT_0263,C[C@@H]1NCc2cc(N(CCO)c3cccc(N4CCc5c(F)cc(F)cc54)c3)cnc21,-7.22,-5.4,-12.620000000000001
HIT_0264,C[C@]1(Oc2ccc3c(n2)N(c2cc(F)c4c(c2)CCNC4)CC3)CCNC[C@@H]1F,-7.804,-4.816,-12.620000000000001
HIT_0265,Cc1c(F)ccc2c1N(C(=O)c1ccc3c(c1)CCN3)CCC2,-7.904,-4.714,-12.618
HIT_0266,Cc1ncn(C)c1N1CCOc2ccc(N3CCc4cc(O)ccc4C3)cc21,-7.086,-5.53,-12.616
HIT_0267,C[C@]1(C(=O)N2Cc3ccc(N4CCc5cc(F)ccc5C4)cc3C2)CCN1,-7.881,-4.734,-12.615
HIT_0268,Cc1c(NC(=O)N2CCNC[C@H]2C)ccc(N2CCc3cccc4c3[C@H](CCC4)C2)c1F,-7.365,-5.25,-12.615
HIT_0269,Cc1c(N2CCc3cc(F)cc(F)c3C2)ccc2c1CNC2,-7.897,-4.716,-12.613
HIT_0270,CN(c1ccc2c(c1)CN(C(=O)[C@@]1(F)CNCC13CCC3)C2)c1cc(Cl)nnc1O,-7.722,-4.888,-12.61
HIT_0271,Cc1nc(C)c(N2CCOC[C@H]2C(=O)N2CCCCc3ccccc32)[nH]1,-7.356,-5.253,-12.609
HIT_0272,CC1(C)CN(c2occc2C#N)[C@H]1C(=O)Nc1cc(N2CCC(=O)c3c(F)cccc32)ccn1,-7.053,-5.555,-12.608
HIT_0273,C[C@@H]1Cc2cccc(O)c2N(c2ccc3c(c2)[C@@]2(CC3)COCCN2)C1,-8.627,-3.98,-12.607000000000001
HIT_0274,NC(=O)[C@H]1CCC[C@](Oc2cccc(-c3cncc(C(F)(F)F)c3)c2F)(C(=O)O)C1,-7.612,-4.995,-12.607
HIT_0275,O=C(c1ccc2c(c1)CNC2)N1CCc2ccc(O)cc2CC1,-7.499,-5.108,-12.607
HIT_0276,C[C@@H]1CN(c2cc(N3CCc4cc(Br)cc(F)c4C3)ccc2C#N)CCN1,-7.249,-5.355,-12.604
HIT_0277,Cc1c(F)ccc(N[C@H]2CCc3ccc4c(c32)CCC4)c1N1CC[C@](C)(O)[C@H](C)C1,-7.845,-4.759,-12.604
HIT_0278,Cc1ccc(F)c2c1N(c1cnc(NC(=O)C3(N)CC4(CC4)C3)cn1)CCC2,-7.447,-5.156,-12.603
HIT_0279,Cn1ncc(-c2nc3cc(F)ccc3n2C2(C)CCCCC2)n1,-7.709,-4.893,-12.602
HIT_0280,Cc1c(C#N)cncc1N[C@H]1CC2(C1)C[C@H](C(=O)N1Cc3ccc(F)cc3C1)C2,-7.525,-5.077,-12.602
HIT_0281,Oc1ccc2c(c1)N(c1ccc3c(c1)[C@@]1(CC3)COCCN1)CCC2,-7.76,-4.841,-12.600999999999999
HIT_0282,Cc1cccc2c1CCN2c1cc(NC2=C(C#N)CCCC2)ccn1,-7.706,-4.895,-12.600999999999999
HIT_0283,N#CCC(=O)N1CCCc2ccc(N3CCc4cccc(F)c43)cc2C1,-6.785,-5.813,-12.597999999999999
HIT_0284,O=C(c1[nH]cnc1CO)N1CCc2ccc(N3C[C@@H](F)c4ccccc43)cc21,-7.356,-5.241,-12.597
HIT_0285,C[C@@H]1CCN(C(=O)[C@@H]2CCN([C@H]3CCc4c(F)cccc4C3)C2)[C@@H]1C(=O)O,-7.337,-5.26,-12.597
HIT_0286,O=C1c2c(cccc2C2=CCCC2)CN1[C@@]1(C(=O)O)COc2ncccc21,-7.383,-5.213,-12.596
HIT_0287,C[C@H]1CN(c2ccc(F)c3c2CN(c2cnc4c(c2)NCC4)CC3)[C@@H](C)CO1,-7.574,-5.021,-12.594999999999999
HIT_0288,O[C@@H]1CCc2c(O[C@@H]3CCc4c(F)ccc(F)c43)cccc21,-7.703,-4.891,-12.594000000000001
HIT_0289,C[C@]1(F)C[C@@H](c2nc3nc(Cl)cnc3n2[C@H]2Cc3ccccc32)C1,-7.115,-5.478,-12.593
HIT_0290,O=C(Nc1ncccc1N1CC2(CC2)c2cccc(F)c21)[C@@H]1CCCN1,-7.181,-5.409,-12.59
HIT_0291,Cc1cc(-c2ccc3c(c2)N(C(=O)[C@@H]2NCC2(C)C)CCN3)ncc1F,-7.5,-5.089,-12.589
HIT_0292,Cc1ccc(F)c(O)c1N1CCC[C@](O)(CC(=O)N2CCc3c(F)ccc(F)c32)C1,-8.201,-4.382,-12.583
HIT_0293,CN1CC[C@H]1C(=O)N1CCc2cc(N3CCc4cc(F)cc(C(=O)O)c4C3)ccc2C1,-7.327,-5.256,-12.583
HIT_0294,C[C@H]1NCC[C@@H]1C(=O)Nc1ccc(F)c(CN2CCc3ccc(F)cc3C2)c1,-7.162,-5.42,-12.582
HIT_0295,Oc1cccc2c1CCC[C@@H]2N[C@@H]1CCc2ccc3c(c21)CCO3,-7.27,-5.312,-12.582
HIT_0296,CN1CC[C@@H]2CN(c3cccc(Oc4ccc(F)c5c4OCCC5=O)n3)C[C@H]21,-7.314,-5.267,-12.581
HIT_0297,O=C([C@H]1Cc2cc(F)ccc2CN1)N1CCc2c(O)ccc(F)c2C1,-7.5,-5.079,-12.579
HIT_0298,C[C@@H]1CCCN([C@H]2CNCc3ccc(N4CCc5cccc(F)c54)cc32)[C@H]1C,-7.599,-4.977,-12.576
HIT_0299,O=C1CCCc2c(N3CCc4c(F)ccc(F)c4C3)ccnc21,-7.577,-4.998,-12.575
HIT_0300,CC1(C)CCN[C@H]1c1nc(-c2cc(N3CCCc4c(F)cc(F)cc43)ccc2O)no1,-7.782,-4.793,-12.575
HIT_0301,C[C@@H]1CN(c2cnccc2C#N)C[C@H]1c1nc(-c2cccc3c2CCN3)no1,-7.373,-5.201,-12.574
HIT_0302,Cc1cc(C#N)cnc1N1CCC[C@]2(C1)C[C@H](N1CCCc3cccnc31)C2,-7.054,-5.517,-12.571000000000002
HIT_0303,N#CC1(C#N)CN(c2cc(N3CC[C@H]3c3ccccc3F)nc3c2CCN3)C1,-7.02,-5.551,-12.571
HIT_0304,CC1(C)CCCCN1[C@@H]1CCc2ccc(N3CCc4c(O)ccc(O)c4C3)cc21,-8.19,-4.381,-12.571
HIT_0305,Cc1c(O)cccc1N1CCc2ccc(N3CCC(C#N)CC3)cc21,-7.372,-5.197,-12.568999999999999
HIT_0306,C[C@@H]1[C@H](O)CCCN1c1ccc2c(c1)CN(c1c(F)cccc1C#N)CC2,-7.267,-5.301,-12.568000000000001
HIT_0307,N#Cc1cc(N)c(N)cc1N1CC2(CCOCC2)c2c(F)cccc21,-7.304,-5.264,-12.568000000000001
HIT_0308,Cc1cccc(-c2ccc3c(c2)[C@@H](N2CC[C@@H](O)[C@H](C)[C@@H]2C)CO3)c1C,-7.969,-4.598,-12.567
HIT_0309,CCN1CC(=Cc2ccc(-c3ccc(F)nc3C)o2)C(=O)NC2(CCCC2)C1=O,-6.876,-5.69,-12.566
HIT_0310,C[C@@H]1COCCCN1c1cc(N2CCc3ccc(Cl)cc3C2)cnc1O,-7.482,-5.084,-12.565999999999999
HIT_0311,NC(=O)c1cc(F)cc(N2CC[C@H](c3c(F)cccc3F)C2)c1F,-7.294,-5.271,-12.565
HIT_0312,N#Cc1cc(N2CCCc3ccc(O)cc3C2)ccc1O,-7.387,-5.177,-12.564
HIT_0313,C[C@@H]1CCCCN(c2ccc3c(c2)CCN(c2ccc4c(c2)[C@]2(CCN2)CCO4)C3)C1,-7.079,-5.484,-12.562999999999999
HIT_0314,Cc1cc2nc([C@H]3CNCC3(C)C)oc2cc1N1CCC2(CCCC(=O)N2)CC1,-7.354,-5.207,-12.561
HIT_0315,Cc1cccc2c1CCN2[C@H]1CC[C@@H](C)N(c2ccc3c(c2)CC[C@@H](O)C3=O)C1,-7.18,-5.381,-12.561
HIT_0316,N#Cc1ccncc1-c1cccc2c1CCN(c1ccc3c(c1)CNC3)C2,-6.972,-5.589,-12.561
HIT_0317,Cc1ccnc(O)c1C(=O)N1CCc2c(F)ccc(N3C[C@@H]4CCC[C@@]4(C#N)C3)c2C1,-7.879,-4.676,-12.555
HIT_0318,CC1=C(N2CCC(=O)[C@H](C)C2)CN(c2cnc3c(c2)C(=O)CCN3)CC1,-6.765,-5.787,-12.552
HIT_0319,C[C@@H]1CCCN(c2ccc(-c3ccc4c(c3)[C@]3(CCN3)CCO4)nc2)[C@@H]1C,-7.313,-5.239,-12.552
HIT_0320,O=C([C@H]1CCCN(C(=O)[C@@]23CCC[C@@H]2NCC3)C1)N1CCCc2ccccc2C1,-7.383,-5.166,-12.549
HIT_0321,FC1CCN(c2cncc(N3CCC[C@@H]3c3nc4cccc5c4n3CCO5)n2)CC1,-7.189,-5.356,-12.545
HIT_0322,O=C([C@H]1CCNC1)N1CC[C@@H](N2CCc3ccc(F)cc32)c2c(F)cccc21,-7.349,-5.194,-12.543
HIT_0323,CC1(C)CN(c2ccc3c(c2)[C@@H](N(c2ncncc2F)C2CC(=O)C2)CCN3)CCO1,-7.464,-5.078,-12.542000000000002
HIT_0324,O=C(N[C@@H]1CCc2cc(F)ccc21)c1ccc2c(n1)CCCN2,-7.482,-5.06,-12.542
HIT_0325,O=C(c1cccc2c1CN(c1ccc3c(n1)NCCC3)CC2)N1CCCNCCC1,-7.685,-4.857,-12.542
HIT_0326,Cc1cccc(C#N)c1N[C@@H]1CCOc2c(F)cc(-c3cccnc3F)cc21,-7.516,-5.025,-12.541
HIT_0327,Cc1cc(Oc2cc(C(=O)N3CCCOc4ccccc43)cnc2C)ccc1O,-6.788,-5.752,-12.54
HIT_0328,O=C([C@@H]1CN=CN1)N1CCc2ccc(N3CCc4c(F)cccc4C3)nc21,-7.378,-5.162,-12.54
HIT_0329,C[C@H]1Oc2c(F)cccc2[C@@H]1NC(=O)Cc1cc(N2CCC23CCOCC3)ccn1,-7.938,-4.602,-12.54
HIT_0330,O=C([C@@H]1Cc2cc(F)ccc2CN1)N1CCCc2cc(F)ccc2C1,-7.277,-5.262,-12.539
HIT_0331,C[C@H]1CCC(=O)CN1c1ccc2c(c1)CN([C@@H]1CNc3ccccc31)C2,-7.804,-4.734,-12.538
HIT_0332,Fc1ccc(-c2ccc3c(n2)N(c2ccc4c(c2)NCC4)CC3)c(Cl)c1,-7.578,-4.959,-12.536999999999999
HIT_0333,F[C@]1(c2cccc(N3Cc4ccccc4C3)c2)CCNC1,-7.535,-4.999,-12.533999999999999
HIT_0334,Fc1cccc2c1CCN(c1ccc3c(c1)N([C@@H]1CCCNCC1)CCO3)C2,-7.943,-4.59,-12.533
HIT_0335,Cc1ccc(-c2c(F)ccc3c2CC[C@@H]3N[C@H]2C[C@@H](C)[C@@H](C)C2)c(F)c1,-7.56,-4.972,-12.532
HIT_0336,Cn1cnc(Nc2cnc3c(c2)NCC3)c1C(=O)N1CCCc2cccc(F)c2C1,-7.748,-4.784,-12.532
HIT_0337,O=C1NCCN1c1cccc(N2CCCc3ccc(F)cc3C2)c1,-7.602,-4.929,-12.531
HIT_0338,CC1CC2(C1)CN(c1ccc3c(c1)COC[C@H]3N1CCCc3ccc(O)cc31)C2,-7.383,-5.147,-12.530000000000001
HIT_0339,Cc1ccc2c(c1)[C@H](N[C@H]1CCc3cccc(F)c31)CCN2,-7.222,-5.307,-12.529
HIT_0340,CC1=C(N2CCC(C)(C)[C@H]2C)CN(c2cc3c(cc2F)OCCN3)CC1,-6.793,-5.734,-12.527000000000001
HIT_0341,Nc1cnccc1N1CCC[C@@]12CCN([C@]1(C(=O)O)COc3ccc(F)cc3C1)C2,-8.027,-4.499,-12.526
HIT_0342,C[C@]1(O)CCC[C@H]1Nc1ccc2c(c1)CN([C@H]1CC[C@H](C)CC1)CCC2,-7.405,-5.119,-12.524000000000001
HIT_0343,Oc1cccc(F)c1-c1ccc2c(c1)NCC[C@H]2N1CCCCOCC1,-6.768,-5.754,-12.521999999999998
HIT_0344,CN(c1ccc2c(c1)CNC2)c1cccc(N2CC3(CCCCCO3)C2)n1,-6.939,-5.581,-12.52
HIT_0345,Fc1cc(Cl)ccc1-c1ccc2c(c1)CN(c1ccc3c(c1)CCNC3)CC2,-7.589,-4.929,-12.518
HIT_0346,Cc1ccc(-c2cccc3c2CCN(C(=O)[C@H]2CNCCCO2)C3)c(F)c1,-8.017,-4.5,-12.517
HIT_0347,C[C@H]1C[C@H](C)CN(c2ccc3c(c2)N(c2cccc4c2NC(=O)C42CC2)CC3)C1,-7.411,-5.106,-12.517
HIT_0348,C[C@H]1COCCCN1c1cnc2c(c1)CN(c1cccc3c1CNCC3)CC2,-7.692,-4.824,-12.516
HIT_0349,Cc1ccc(N2CCc3ccc(N4CCC[C@@H](O)[C@@H]4C)cc3C2)cn1,-7.822,-4.691,-12.513
HIT_0350,O=C(c1ccccc1[C@H]1CCCN1)N1CCCc2cc(F)ccc2C1,-7.493,-5.02,-12.513
HIT_0351,Cc1ccc(F)c2c1N([C@@H]1CCCN(c3nc4c(cc3C#N)CNCC4)CC1)CCC2,-8.169,-4.343,-12.512
HIT_0352,Cc1oncc1N(C)c1ccc2c(c1)[C@H](Oc1ccc(O)nc1N)CC2,-7.43,-5.082,-12.512
HIT_0353,N#C[C@]1(F)CCCN(c2cc3c(cc2F)[C@H](N2CCc4ccc(F)c(F)c42)CO3)C1,-7.633,-4.879,-12.512
HIT_0354,FC(F)(F)[C@H]1C[C@@H]1Nc1cccc2c1CN(c1c[nH]c3nccc-3c1)CC2,-7.37,-5.141,-12.511
HIT_0355,Cc1ccc(C(=O)N2CCCCNc3ccccc32)cc1,-7.641,-4.869,-12.51
HIT_0356,Cc1ncc(C(=O)Nc2ccc(=O)n(C)c2)cc1N1CCc2oncc2C1,-7.263,-5.247,-12.51
HIT_0357,Cc1cnc(-c2ccc(C#N)cc2)cc1Oc1ccc2c(c1)NC(=O)CO2,-7.659,-4.848,-12.507
HIT_0358,C[C@@H]1Cc2ccc(N3CCC(F)(F)[C@@H](C)C3)cc2CN1c1cc2c(cc1F)NCCO2,-6.95,-5.556,-12.506
HIT_0359,O=C(c1n[nH]cc1F)N1CCOc2ccc(N3CC4(CCCCC4)C3)cc21,-7.542,-4.962,-12.504
HIT_0360,c1cc2c(c(N3CCCNC[C@@H](N4CCc5ccncc54)C3)c1)CNCC2,-7.624,-4.88,-12.504
HIT_0361,O=C1OCc2ccc(N3CCNCCNCc4cccc(n4)C3)cc21,-7.602,-4.897,-12.499
HIT_0362,O=C1COc2ccc(N3CCN[C@@H](C(=O)N4CCCc5ccc(F)cc5C4)C3)cc21,-7.68,-4.817,-12.497
HIT_0363,C[C@]1(O)CCN(Cc2ccc(F)cc2N2Cc3ccc(F)cc3C2)C1,-7.777,-4.72,-12.497
HIT_0364,C[C@@H]1c2c(F)cccc2CCN1C(=O)[C@@]1(C)CCN(c2ccc(F)cn2)C1,-6.849,-5.648,-12.497
HIT_0365,N#Cc1c[nH]nc1N1CCCc2ccc(N3CC[C@@](F)(C#N)C3)cc2C1,-7.222,-5.273,-12.495000000000001
HIT_0366,Cc1cc(-c2ccc3c(c2)CN(C(=O)[C@H]2CN[C@H]2C)CCC3)cnc1C,-7.1,-5.395,-12.495
HIT_0367,C[C@H]1NCCC[C@@H]1C(=O)N1CCCCc2ccc(-c3ccc(O)nc3F)nc21,-7.717,-4.778,-12.495
HIT_0368,C[C@@H]1c2ccccc2[C@H](C)N1C(=O)[C@H]1CN(c2cnn3c2CNCC3)CC12CCCC2,-7.673,-4.82,-12.493
HIT_0369,C[C@@H]1CC(=O)CCN1c1cnc2c(c1)N([C@H]1CCCCCC(=O)[C@H]1F)CC2,-7.62,-4.873,-12.493
HIT_0370,Nc1ccc2c(c1)[C@@H](N1CCC(F)(F)CC1)c1ccccc1-2,-7.792,-4.7,-12.492
HIT_0371,O=C[C@@H]1CN(C(=O)[C@H]2CC[C@@H](C(=O)N3CCC[S@](=O)c4ccccc43)C2)c2ccccc21,-6.683,-5.808,-12.491
HIT_0372,C[C@H]1CCN[C@H]1C(=O)N[C@H]1CCc2c1ccc(F)c2-c1ccc(C#N)c(F)c1,-6.707,-5.782,-12.489
HIT_0373,C[C@H]1[C@H](c2ccccc2)NCC[C@@H]1N1[C@@H]2CCC[C@H]1C[C@H](C#N)C2,-7.501,-4.988,-12.489
HIT_0374,C[C@@H]1Cc2nc(Nc3ncccc3N(C)[C@H]3CCc4ccc5c(c43)CCC5)sc2CN1,-7.655,-4.831,-12.486
HIT_0375,Cc1ccnc(N2CCc3ccc(N4CCC[C@@H](C)[C@H]4C)cc32)c1,-7.752,-4.733,-12.485
HIT_0376,COc1cccc2c1CN(c1cccc(Oc3cc4c(cc3F)C(=O)CO4)n1)CC2,-7.969,-4.515,-12.484
HIT_0377,Cc1cc(O)ncc1N1c2ccccc2C[C@H]1C(=O)N1CCCC2(CC2)C1,-8.117,-4.366,-12.483
